company_name,auditor_switch_date_raw,auditor_switch_date,auditor_switch_date_status,report_publication_date_raw,report_publication_date,report_publication_date_status,event_date_basis,event_date_raw,event_date,event_year,event_month,event_date_status,event_is_future,price_extraction_eligibility,old_auditor,new_auditor,from_big4,to_big4,switch_type,data_status,source_row_number,is_duplicate_company_event,stock_price_before_raw,stock_price_after_raw,reported_stock_change_raw,stock_price_before,stock_price_after,reported_stock_change,implied_return,reported_vs_implied_diff,price_consistency_flag,raw__unnamed_1,raw__חברה,raw__תאריך החלפה,raw__תאריך פרסום דוחות,raw__מחיר מניה לפני,raw__מחיר מניה אחרי,raw__שינוי באחוזים,raw__תשואת תיק השוק,raw__תשואה חריגה,raw__גודל החברה,raw__מעבר מbig4,raw__מעבר לbig4,raw__roe,raw__מינוף,raw__סך הנכסים,raw__הון עצמי,raw__רווח
תמר פטרוליום,31/3/2026,2026-03-31,OK,19/3/2026,2026-03-19,OK,auditor_switch_date,31/3/2026,2026-03-31,2026,3,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,13,False,3245.93,3270,0.007415440259,3245.93,3270.0,0.007415440259,0.007415440259032069,-3.2068965538645244e-14,CONSISTENT,11,תמר פטרוליום,31/3/2026,19/3/2026,3245.93,3270,0.007415440259,,,22.47,0,0,0.344,1.69,5730000000,2130000000,734000000
אוברסיז,16/2/2026,2026-02-16,OK,לא פורסם עדיין,,INVALID_DATE,auditor_switch_date,16/2/2026,2026-02-16,2026,2,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,14,False,550.52,528.12,-0.04068880331,550.52,528.12,-0.04068880331,-0.0406888033132311,3.231102885248305e-12,CONSISTENT,12,אוברסיז,16/2/2026,לא פורסם עדיין,550.52,528.12,-0.04068880331,,,20.28,0,0,0.038,1.94,641900000,217900000,8300000
מנדלסון תשתיות,18/2/2026,2026-02-18,OK,19/3/2026,2026-03-19,OK,auditor_switch_date,18/2/2026,2026-02-18,2026,2,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,15,False,1345.7,1344.7,-0.0007431076763,1345.7,1344.7,-0.0007431076763,-0.000743107676302257,2.257092082680323e-15,CONSISTENT,13,מנדלסון תשתיות,18/2/2026,19/3/2026,1345.7,1344.7,-0.0007431076763,,,20.71,0,0,0.11,1,984200000,495300000,54600000
"נקסט ג'ן ביומד בע""מ",18/12/2022,2022-12-18,OK,לא פורסם עדיין,,INVALID_DATE,auditor_switch_date,18/12/2022,2022-12-18,2022,12,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,16,False,412.8,415.2,0.00243656481,412.8,415.2,0.00243656481,0.005813953488372103,-0.0033773886783721035,CONSISTENT,14,"נקסט ג'ן ביומד בע""מ",18/12/2022,לא פורסם עדיין,412.8,415.2,0.00243656481,,,16.98,0,0,-0.124,0.15,23600000,20600000,2550000
מנרב,30/11/2022,2022-11-30,OK,30/3/2023,2023-03-30,OK,auditor_switch_date,30/11/2022,2022-11-30,2022,11,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,17,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,15,מנרב,30/11/2022,30/3/2023,,,#DIV/0!,,,21.71,0,0,0.123,2.49,2670000000,764400000,94200000
מיי טאון,2025-02-07 00:00:00,2025-02-07,OK,31/3/2026,2026-03-31,OK,auditor_switch_date,2025-02-07 00:00:00,2025-02-07,2025,2,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,18,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,16,מיי טאון,2025-02-07 00:00:00,31/3/2026,,,#DIV/0!,,,19.51,0,0,-0.283,6.26,290950000,40783000,-11540000
אגוד הנפקות,30/9/2020,2020-09-30,OK,2021-02-03 00:00:00,2021-02-03,OK,auditor_switch_date,30/9/2020,2020-09-30,2020,9,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,19,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,17,אגוד הנפקות,30/9/2020,2021-02-03 00:00:00,,,#DIV/0!,,,22.03,0,0,0.0569,114.48,3706197000,32094000,1827000
"אלקטרה נדל""ן",2020-09-09 00:00:00,2020-09-09,OK,18/03/2021,2021-03-18,OK,auditor_switch_date,2020-09-09 00:00:00,2020-09-09,2020,9,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,20,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,18,"אלקטרה נדל""ן",2020-09-09 00:00:00,18/03/2021,,,#DIV/0!,,,20.84,0,0,0.222,1.4,1125250000,468013000,104000000
אינרום בניה,13/7/2025,2025-07-13,OK,20/03/2026,2026-03-20,OK,auditor_switch_date,13/7/2025,2025-07-13,2025,7,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,21,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,19,אינרום בניה,13/7/2025,20/03/2026,,,#DIV/0!,,,21.49,0,0,0.162,0.63,2142645000,1311881000,212499000
"שדה נדל""ן",2020-07-09 00:00:00,2020-07-09,OK,31/03/2021,2021-03-31,OK,auditor_switch_date,2020-07-09 00:00:00,2020-07-09,2020,7,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,1,Small to Big,READY_FOR_TICKER_MAPPING,22,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,20,"שדה נדל""ן",2020-07-09 00:00:00,31/03/2021,,,#DIV/0!,,,16.58,0,1,-3.032,2.56,15809000,4437000,-13451000
ברנד,28/7/2025,2025-07-28,OK,19/4/2026,2026-04-19,OK,auditor_switch_date,28/7/2025,2025-07-28,2025,7,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,23,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,21,ברנד,28/7/2025,19/4/2026,,,#DIV/0!,,,21.87,0,0,-0.043,2.74,3154332000,842608000,-35870000
שירותי בנק אוטו,16/08/2020,2020-08-16,OK,25/03/2021,2021-03-25,OK,auditor_switch_date,16/08/2020,2020-08-16,2020,8,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,1,0,Big to Small,READY_FOR_TICKER_MAPPING,24,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,22,שירותי בנק אוטו,16/08/2020,25/03/2021,,,#DIV/0!,,,19.38,1,0,0.115,0.14,260136000,229132000,26348000
אוטונומוס,30/07/2025,2025-07-30,OK,30/03/2026,2026-03-30,OK,auditor_switch_date,30/07/2025,2025-07-30,2025,7,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,1,0,Big to Small,READY_FOR_TICKER_MAPPING,25,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,23,אוטונומוס,30/07/2025,30/03/2026,,,#DIV/0!,,,18.65,1,0,-16.4,1.61,125626000,48184000,-7912000
חג׳ג׳ אירופה,6.11.2025,2025-11-06,OK,20/04/2026,2026-04-20,OK,auditor_switch_date,6.11.2025,2025-11-06,2025,11,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,1,Small to Big,READY_FOR_TICKER_MAPPING,26,False,,,,,,,,,NOT_ENOUGH_DATA,24,חג׳ג׳ אירופה,6.11.2025,20/04/2026,,,,,,21.46,0,1,0.083,2.35,2088792000,623497000,51742000
