event_id,company_name,switch_type,event_date_basis,event_date,yahoo_ticker,mapping_status,mapping_confidence,stock_t_minus_5_date,stock_event_trading_date,stock_t_plus_5_date,market_t_minus_5_date,market_event_trading_date,market_t_plus_5_date,stock_price_t_minus_5,stock_price_event,stock_price_t_plus_5,ta125_price_t_minus_5,ta125_price_event,ta125_price_t_plus_5,price_status,market_price_status,analysis_eligible,analysis_exclusion_reason,price_notes,market_price_notes,stock_return,ta125_return,market_adjusted_return,stock_return_pct,ta125_return_pct,market_adjusted_return_pct,stock_event_day_position,ta125_event_day_position,market_adjusted_event_day_position,stock_event_day_position_pct,ta125_event_day_position_pct,market_adjusted_event_day_position_pct,reaction_direction,absolute_market_adjusted_return,is_extreme_market_adjusted_return_20pct,is_extreme_market_adjusted_return_50pct,outlier_note
22,שירותי בנק אוטו,Big to Small,auditor_switch_date,2020-08-16,SHVA.TA,MAPPED_MANUALLY,HIGH,2020-08-06,2020-08-17,2020-08-25,2020-08-06,2020-08-17,2020-08-25,961.7999877929688,1096.0,1050.0,1415.02001953125,1457.8900146484375,1440.6400146484375,OK,OK,True,INCLUDED,,,0.09170307062430183,0.018105747454848498,0.07359732316945333,9.170307062430183,1.8105747454848498,7.359732316945333,0.13953006228974751,0.030296387701559846,0.10923367458818767,13.95300622897475,3.0296387701559846,10.923367458818767,Positive,0.07359732316945333,False,False,
23,אוטונומוס,Big to Small,auditor_switch_date,2025-07-30,AGRD.TA,MAPPED_MANUALLY,HIGH,2025-07-22,2025-07-30,2025-08-07,2025-07-22,2025-07-30,2025-08-07,2299.0,2108.0,2052.0,3111.389892578125,3086.72998046875,2982.929931640625,OK,OK,True,INCLUDED,,,-0.1074380165289256,-0.04128700207065883,-0.06615101445826677,-10.743801652892559,-4.128700207065883,-6.615101445826676,-0.08307959982601132,-0.007925690113025796,-0.07515390971298552,-8.307959982601131,-0.7925690113025796,-7.515390971298553,Negative,0.06615101445826677,False,False,
24,חג׳ג׳ אירופה,Small to Big,auditor_switch_date,2025-11-06,HGGE.TA,MAPPED_MANUALLY,HIGH,2025-10-29,2025-11-06,2025-11-17,2025-10-29,2025-11-06,2025-11-17,845.5999755859375,894.0,936.5999755859376,3329.8798828125,3389.340087890625,3497.860107421875,OK,OK,True,INCLUDED,,,0.10761589714680864,0.05044633155580813,0.057169565591000504,10.761589714680863,5.044633155580813,5.71695655910005,0.05723749504666786,0.017856561548972083,0.03938093349769578,5.723749504666786,1.7856561548972083,3.938093349769578,Positive,0.057169565591000504,False,False,
25,אקסיליון,Small to Small,auditor_switch_date,2020-09-08,AILN.TA,MAPPED_MANUALLY,HIGH,2020-08-31,2020-09-08,2020-09-17,2020-08-31,2020-09-08,2020-09-17,800000.0,800000.0,6353.75,1423.0899658203125,1354.030029296875,1356.0699462890625,OK,OK,True,INCLUDED,,,-0.9920578125,-0.04709471722865932,-0.9449630952713407,-99.20578125,-4.709471722865932,-94.49630952713407,0.0,-0.048528159274617066,0.048528159274617066,0.0,-4.852815927461707,4.852815927461707,Negative,0.9449630952713407,True,True,"Extreme return; verify ticker, corporate actions, liquidity, and event-date validity."
26,בוני תיכון,Big to Small,auditor_switch_date,2020-02-08,BOTI.TA,MAPPED_MANUALLY,HIGH,2020-01-30,2020-02-10,2020-02-18,2020-01-30,2020-02-10,2020-02-18,812.0999755859375,830.0999755859375,841.5999755859375,1635.449951171875,1644.0899658203125,1656.199951171875,OK,OK,True,INCLUDED,,,0.03632557676007253,0.012687639866405975,0.023637936893666556,3.632557676007253,1.2687639866405975,2.3637936893666556,0.02216475870106116,0.005282958761438472,0.016881799939622688,2.216475870106116,0.5282958761438472,1.6881799939622688,Positive,0.023637936893666556,False,False,
27,ישראל קנדה מלונות,Small to Small,auditor_switch_date,2025-10-11,ICHO.TA,MAPPED_MANUALLY,HIGH,2025-09-25,2025-10-15,2025-10-23,2025-09-25,2025-10-15,2025-10-23,101.4000015258789,113.5999984741211,128.0,3069.27001953125,3325.280029296875,3277.02001953125,OK,OK,True,INCLUDED,,,0.26232739717792164,0.0676871043205669,0.19464029285735474,26.232739717792164,6.76871043205669,19.464029285735474,0.12031554994729032,0.0834107159476063,0.03690483399968403,12.031554994729031,8.34107159476063,3.690483399968403,Positive,0.19464029285735474,False,False,
28,נקסטייג׳,Big to Small,auditor_switch_date,2025-11-12,NXTG.TA,MAPPED_MANUALLY,HIGH,,,,,,,,,,,,,TICKER_VALIDATION_FAILED,OK,False,STOCK_PRICE_STATUS_NOT_OK,Ticker validation status: NO_DATA_RETURNED,OK,,,,,,,,,,,,,Not calculated,,False,False,
29,אפריקה מגורים,Small to Small,auditor_switch_date,2020-07-23,AFRE.TA,MAPPED_MANUALLY,HIGH,2020-07-15,2020-07-23,2020-08-04,2020-07-15,2020-07-23,2020-08-04,9975.0,10150.0,9990.0,1385.8599853515625,1388.6500244140625,1397.0899658203125,OK,OK,True,INCLUDED,,,0.0015037593984963404,0.008103257607153802,-0.006599498208657462,0.15037593984963404,0.8103257607153802,-0.6599498208657462,0.01754385964912286,0.002013218573297726,0.015530641075825136,1.7543859649122862,0.2013218573297726,1.5530641075825136,Negative,0.006599498208657462,False,False,
30,דורסל,Small to Small,auditor_switch_date,2026-01-07,DRSL.TA,MAPPED_MANUALLY,HIGH,,,,,,,,,,,,,TICKER_VALIDATION_FAILED,OK,False,STOCK_PRICE_STATUS_NOT_OK,Ticker validation status: NO_DATA_RETURNED,OK,,,,,,,,,,,,,Not calculated,,False,False,
31,תמיס,Small to Small,auditor_switch_date,2026-01-12,TMIS.TA,MAPPED_MANUALLY,HIGH,2026-01-05,2026-01-12,2026-01-19,2026-01-05,2026-01-12,2026-01-19,1240.0,1156.0,1219.0,3794.159912109375,3926.3798828125,3987.85009765625,OK,OK,True,INCLUDED,,,-0.01693548387096777,0.05104955775024056,-0.06798504162120833,-1.6935483870967771,5.104955775024056,-6.7985041621208335,-0.06774193548387097,0.034848286252019633,-0.10259022173589061,-6.774193548387098,3.4848286252019633,-10.259022173589061,Negative,0.06798504162120833,False,False,
32,ישראכרט,Small to Big,auditor_switch_date,2020-07-16,ISCD.TA,MAPPED_MANUALLY,HIGH,2020-07-08,2020-07-16,2020-07-27,2020-07-08,2020-07-16,2020-07-27,755.0999755859375,852.5,796.4000244140625,1341.22998046875,1375.239990234375,1375.5799560546875,OK,OK,True,INCLUDED,,,0.054694808851075916,0.025610802089237827,0.029084006761838088,5.469480885107592,2.5610802089237827,2.908400676183809,0.12898957431230573,0.025357328915163846,0.10363224539714189,12.898957431230574,2.5357328915163846,10.363224539714189,Positive,0.029084006761838088,False,False,
33,בליץ,Big to Small,auditor_switch_date,2026-01-28,BLITZ.TA,MAPPED_MANUALLY,HIGH,,,,,,,,,,,,,TICKER_VALIDATION_FAILED,OK,False,STOCK_PRICE_STATUS_NOT_OK,Ticker validation status: NO_DATA_RETURNED,OK,,,,,,,,,,,,,Not calculated,,False,False,
34,פסיירקס ביוטק,Small to Small,auditor_switch_date,2026-02-12,PSRX.TA,MAPPED_MANUALLY,HIGH,2026-02-05,2026-02-12,2026-02-19,2026-02-05,2026-02-12,2026-02-19,94.9000015258789,124.5999984741211,122.0,4027.219970703125,4167.22998046875,4173.0,OK,OK,True,INCLUDED,,,0.28556373064684326,0.03619867560187506,0.2493650550449682,28.556373064684326,3.6198675601875063,24.93650550449682,0.3129609744014925,0.03476592060631356,0.27819505379517895,31.29609744014925,3.476592060631356,27.819505379517896,Positive,0.2493650550449682,True,False,Large return; recommended manual review.
35,מלם-תים אחזקות,Small to Small,auditor_switch_date,2024-04-08,MLTH.TA,MAPPED_MANUALLY,HIGH,2024-03-28,2024-04-08,2024-04-16,2024-03-28,2024-04-08,2024-04-16,9615.0,9852.0,8964.0,2028.5699462890625,2025.72998046875,1932.280029296875,OK,OK,True,INCLUDED,,,-0.0677067082683307,-0.04746689517328906,-0.020239813095041637,-6.7706708268330695,-4.746689517328906,-2.0239813095041637,0.02464898595943832,-0.0013999841738303598,0.02604897013326868,2.464898595943832,-0.13999841738303598,2.604897013326868,Negative,0.020239813095041637,False,False,
36,מיטק,Small to Big,auditor_switch_date,2020-10-06,,MAPPED_MANUALLY,HIGH,,,,,,,,,,,,,MISSING_TICKER,,False,STOCK_PRICE_STATUS_NOT_OK,Yahoo ticker is missing.,,,,,,,,,,,,,,Not calculated,,False,False,
37,פרידנזון,Small to Big,auditor_switch_date,2020-05-14,FRDN.TA,MAPPED_MANUALLY,HIGH,2020-05-06,2020-05-14,2020-05-25,2020-05-06,2020-05-14,2020-05-25,5518.0,5136.0,5100.0,1394.6500244140625,1330.77001953125,1430.219970703125,OK,OK,True,INCLUDED,,,-0.07575208408843781,0.025504567932020494,-0.1012566520204583,-7.575208408843781,2.5504567932020494,-10.12566520204583,-0.06922798115259154,-0.04580360933894545,-0.023424371813646094,-6.9227981152591545,-4.580360933894545,-2.3424371813646094,Negative,0.1012566520204583,False,False,
38,מטריקס,Big to Small,auditor_switch_date,2024-04-03,MTRX.TA,MAPPED_MANUALLY,HIGH,2024-03-26,2024-04-03,2024-04-11,2024-03-26,2024-04-03,2024-04-11,8180.0,8080.0,7998.0,2040.8199462890625,2006.0699462890625,1952.9599609375,OK,OK,True,INCLUDED,,,-0.022249388753056265,-0.04305131646293603,0.020801927709879764,-2.2249388753056265,-4.305131646293603,2.0801927709879764,-0.012224938875305624,-0.01702746979868941,0.004802530923383785,-1.2224938875305624,-1.702746979868941,0.48025309233837854,Positive,0.020801927709879764,False,False,
39,לאומי,Small to Small,auditor_switch_date,2020-03-24,LUMI.TA,MAPPED_MANUALLY,HIGH,2020-03-16,2020-03-24,2020-04-01,2020-03-16,2020-03-24,2020-04-01,1803.0,1844.0,1902.0,1170.06005859375,1188.8499755859375,1236.8299560546875,OK,OK,True,INCLUDED,,,0.05490848585690511,0.05706535914163724,-0.0021568732847321304,5.490848585690511,5.706535914163724,-0.21568732847321304,0.02273987798114252,0.01605893377368206,0.00668094420746046,2.273987798114252,1.605893377368206,0.668094420746046,Neutral,0.0021568732847321304,False,False,
40,ברק בית השקעות,Small to Big,auditor_switch_date,2020-03-17,BARI.TA,MAPPED_MANUALLY,HIGH,2020-03-05,2020-03-17,2020-03-25,2020-03-05,2020-03-17,2020-03-25,295300.0,172900.0,192600.0,1479.9300537109375,1190.3199462890625,1191.77001953125,OK,OK,True,INCLUDED,,,-0.34778191669488656,-0.1947119280787114,-0.15306998861617516,-34.778191669488656,-19.47119280787114,-15.306998861617515,-0.4144937351845581,-0.19569175360394575,-0.21880198158061237,-41.449373518455815,-19.569175360394574,-21.880198158061237,Negative,0.15306998861617516,False,False,
41,שוהם ביזנס,Small to Small,auditor_switch_date,2024-02-18,SHOM.TA,MAPPED_MANUALLY,HIGH,2024-02-08,2024-02-19,2024-02-28,2024-02-08,2024-02-19,2024-02-28,558.0,597.5999755859375,584.9000244140625,1865.5899658203125,1933.8699951171875,1964.18994140625,OK,OK,True,INCLUDED,,,0.04820792905745974,0.052851900681499586,-0.004643971624039844,4.820792905745974,5.285190068149959,-0.46439716240398443,0.07096769818268367,0.03659969797642626,0.03436800020625741,7.096769818268367,3.659969797642626,3.436800020625741,Neutral,0.004643971624039844,False,False,
42,אימקו,Small to Big,auditor_switch_date,2020-02-17,IMCO.TA,MAPPED_MANUALLY,HIGH,2020-02-06,2020-02-17,2020-02-25,2020-02-06,2020-02-17,2020-02-25,1654.0,1597.0,1550.0,1665.0699462890625,1668.739990234375,1609.530029296875,OK,OK,True,INCLUDED,,,-0.06287787182587667,-0.03335590622842555,-0.029521965597451127,-6.2877871825876674,-3.3355906228425547,-2.9521965597451127,-0.03446191051995162,0.002204138002425582,-0.036666048522377204,-3.446191051995162,0.2204138002425582,-3.6666048522377204,Negative,0.029521965597451127,False,False,
43,ווליו פ2פ,Small to Big,auditor_switch_date,2020-02-02,,MAPPED_MANUALLY,HIGH,,,,,,,,,,,,,MISSING_TICKER,,False,STOCK_PRICE_STATUS_NOT_OK,Yahoo ticker is missing.,,,,,,,,,,,,,,Not calculated,,False,False,
44,ישראייר גרופ,Small to Big,auditor_switch_date,2024-02-14,ISRG.TA,MAPPED_MANUALLY,HIGH,2024-02-06,2024-02-14,2024-02-22,2024-02-06,2024-02-14,2024-02-22,151.1999969482422,159.1999969482422,149.39999389648438,1874.8499755859373,1886.449951171875,1945.489990234375,OK,OK,True,INCLUDED,,,-0.011904782328626462,0.037677689184896446,-0.04958247151352291,-1.1904782328626462,3.7677689184896446,-4.958247151352291,0.05291005397796744,0.006187148698291178,0.04672290527967626,5.291005397796744,0.6187148698291178,4.672290527967626,Negative,0.04958247151352291,False,False,
45,תעוזה,Small to Small,auditor_switch_date,2020-01-28,TUZA.TA,MAPPED_MANUALLY,HIGH,2020-01-20,2020-01-28,2020-02-05,2020-01-20,2020-01-28,2020-02-05,46.900001525878906,40.79999923706055,40.5,1662.0699462890625,1637.3199462890625,1657.02001953125,OK,OK,True,INCLUDED,,,-0.13646058246602522,-0.0030383358829678686,-0.13342224658305735,-13.646058246602522,-0.30383358829678686,-13.342224658305735,-0.13006401045536098,-0.014891070051088917,-0.11517294040427206,-13.006401045536098,-1.4891070051088917,-11.517294040427206,Negative,0.13342224658305735,False,False,
46,א. לוי השקעות,Big to Small,auditor_switch_date,2019-11-29,LEVA.TA,MAPPED_MANUALLY,HIGH,,,,,,,,,,,,,TICKER_VALIDATION_FAILED,OK,False,STOCK_PRICE_STATUS_NOT_OK,Ticker validation status: NO_DATA_RETURNED,OK,,,,,,,,,,,,,Not calculated,,False,False,
47,ביולייט,Big to Small,auditor_switch_date,2019-11-10,BOLT.TA,MAPPED_MANUALLY,HIGH,2019-10-31,2019-11-11,2019-11-19,2019-10-31,2019-11-11,2019-11-19,929.0,889.0,783.5,1577.969970703125,1571.1600341796875,1597.0799560546875,OK,OK,True,INCLUDED,,,-0.15662002152852528,0.012110487339025422,-0.1687305088675507,-15.662002152852528,1.2110487339025422,-16.87305088675507,-0.04305705059203446,-0.004315631253998475,-0.03874141933803599,-4.305705059203446,-0.43156312539984754,-3.8741419338035987,Negative,0.1687305088675507,False,False,
48,איי ארגנטו,Small to Big,auditor_switch_date,2024-02-11,IARG.TA,MAPPED_MANUALLY,HIGH,2024-02-01,2024-02-12,2024-02-20,2024-02-01,2024-02-12,2024-02-20,182.8000030517578,160.60000610351562,146.5,1849.0899658203125,1875.56005859375,1933.8399658203125,OK,OK,True,INCLUDED,,,-0.19857769390452285,0.04583335671415112,-0.24441105061867396,-19.857769390452283,4.583335671415112,-24.441105061867397,-0.1214441825909407,0.014315200051228771,-0.13575938264216947,-12.14441825909407,1.4315200051228771,-13.575938264216948,Negative,0.24441105061867396,True,False,Large return; recommended manual review.
49,אפי נכסים,Small to Small,auditor_switch_date,2019-09-25,AFPR.TA,MAPPED_MANUALLY,HIGH,2019-09-16,2019-09-25,2019-10-10,2019-09-16,2019-09-25,2019-10-10,11556.251953125,11795.140625,11894.677734375,1516.06005859375,1520.489990234375,1535.1800537109375,OK,OK,True,INCLUDED,,,0.029285081583781514,0.012611634353669743,0.01667344723011177,2.9285081583781514,1.2611634353669743,1.667344723011177,0.020671812352654806,0.0029220027369720736,0.017749809615682732,2.0671812352654806,0.29220027369720736,1.7749809615682732,Positive,0.01667344723011177,False,False,
50,לפידות,Small to Small,auditor_switch_date,2024-01-09,LAPD.TA,MAPPED_MANUALLY,HIGH,2024-01-01,2024-01-09,2024-01-17,2024-01-01,2024-01-09,2024-01-17,5901.0,5586.0,5350.0,1926.3499755859373,1887.699951171875,1830.4100341796875,OK,OK,True,INCLUDED,,,-0.09337400440603283,-0.049804003749146286,-0.04357000065688654,-9.337400440603282,-4.980400374914629,-4.357000065688654,-0.053380782918149516,-0.020063864253070718,-0.0333169186650788,-5.338078291814952,-2.006386425307072,-3.33169186650788,Negative,0.04357000065688654,False,False,
